asset_id,client_id,asset_type,operating_system,criticality,ip_address,deployed_date,last_patch_date
AST00001,CLI0014,cloud instance,Ubuntu 22.04,Medium,172.16.219.190,2025-11-19,
AST00002,CLI0231,iot device,Unknown,Medium,192.168.96.150,2025-06-26,2025-10-15
AST00003,CLI0199,cloud instance,CentOS 7,Medium,10.57.185.137,2023-06-17,2026-02-17
AST00004,CLI0192,firewall,Unknown,Low,10.162.8.180,2023-01-08,
AST00005,CLI0286,Server,Ubuntu 20.04,Medium,172.21.135.85,2025-07-18,
AST00006,CLI0006,iot device,CentOS 7,High,10.7.15.238,2023-07-18,2025-07-13
AST00007,CLI0158,iot device,Unknown,Low,172.29.75.56,2024-03-09,2026-02-18
AST00008,CLI0309,mobile device,Unknown,Medium,192.168.142.16,2022-10-30,2026-06-01
AST00009,CLI0326,Server,Ubuntu 22.04,Medium,10.200.13.245,2024-11-02,2026-02-21
AST00010,CLI0164,router,Unknown,Medium,192.168.223.254,2025-05-31,
AST00011,CLI0227,database,RHEL 8,High,10.59.98.151,2024-04-22,2026-02-06
AST00012,CLI0487,Server,Windows Server 2019,Low,192.168.89.238,2022-12-21,
AST00013,CLI0247,Server,Unknown,Medium,10.177.131.85,2024-08-02,2026-03-19
AST00014,CLI0329,router,Windows 10,Critical,10.137.155.127,2025-06-04,2026-05-24
AST00015,CLI0290,Server,Unknown,High,172.24.180.16,2024-08-03,2026-06-20
AST00016,CLI0457,mobile device,Windows Server 2019,High,192.168.233.15,2024-07-15,2025-07-19
AST00017,CLI0329,Server,Windows 10,Low,10.130.158.147,2025-08-02,2026-03-02
AST00018,CLI0008,workstation,Ubuntu 22.04,High,10.1.80.168,2022-09-02,2026-05-10
AST00019,CLI0435,workstation,Ubuntu 22.04,Medium,172.20.205.126,2023-03-18,2025-07-11
AST00020,CLI0446,workstation,Windows 11,Low,192.168.214.183,2023-05-24,
AST00021,CLI0039,workstation,Windows 10,Low,172.18.126.13,2024-10-12,
AST00022,CLI0073,Server,Ubuntu 22.04,High,10.23.131.243,2026-04-23,
AST00023,CLI0415,router,RHEL 8,Low,172.25.241.60,2023-10-21,2026-01-17
AST00024,CLI0007,Server,Windows 10,High,10.155.154.0,2025-06-14,2025-09-25
AST00025,CLI0075,iot device,Unknown,Low,172.22.64.230,2025-06-04,2026-04-16
AST00026,CLI0309,Server,Windows 10,High,10.209.240.64,2022-08-03,
AST00027,CLI0391,router,Windows Server 2019,Critical,192.168.171.135,2022-07-02,2026-02-24
AST00028,CLI0140,router,Unknown,High,192.168.105.15,2024-08-12,2025-09-24
AST00029,CLI0306,iot device,Windows Server 2019,Medium,10.72.229.45,2025-05-04,2025-08-02
AST00030,CLI0127,Server,Windows Server 2019,Medium,192.168.190.183,2024-04-29,2026-01-27
AST00031,CLI0088,cloud instance,Ubuntu 22.04,High,192.168.201.232,2022-10-17,2025-12-05
AST00032,CLI0353,database,macOS Sonoma,High,10.133.160.154,2025-11-24,2026-06-02
AST00033,CLI0165,firewall,Ubuntu 22.04,Medium,192.168.231.207,2023-08-01,2025-07-26
AST00034,CLI0118,firewall,Unknown,High,192.168.54.24,2023-02-25,2025-11-24
AST00035,CLI0473,Server,Windows 10,High,192.168.106.79,2024-04-20,
AST00036,CLI0101,database,Unknown,Critical,10.155.194.16,2025-10-19,
AST00037,CLI0132,database,Windows 10,High,172.23.241.104,2026-05-14,2025-11-21
AST00038,CLI0326,mobile device,CentOS 7,High,172.21.144.83,2022-08-14,
AST00039,CLI0157,Server,Unknown,High,192.168.48.127,2024-05-05,
AST00040,CLI0173,Server,RHEL 8,Medium,10.113.207.192,2023-01-06,2025-11-12
AST00041,CLI0447,cloud instance,RHEL 8,Medium,192.168.43.7,2024-10-27,
AST00042,CLI0492,mobile device,CentOS 7,High,10.101.63.136,2026-02-07,
AST00043,CLI0112,firewall,Unknown,Low,172.30.192.120,2022-09-11,2026-06-02
AST00044,CLI0202,cloud instance,Windows 10,High,192.168.15.24,2024-01-10,2025-12-02
AST00045,CLI0520,Server,Unknown,Medium,10.228.91.156,2026-01-10,2026-02-10
AST00046,CLI0218,Server,Unknown,High,10.255.110.184,2024-02-21,2025-07-21
AST00047,CLI0484,firewall,RHEL 8,Critical,172.29.106.95,2023-04-17,2026-01-07
AST00048,CLI0298,firewall,CentOS 7,Medium,192.168.9.255,2026-06-14,
AST00049,CLI0373,Server,Windows Server 2019,High,192.168.176.37,2026-02-22,2025-11-18
AST00050,CLI0170,Server,Windows 11,Critical,10.112.35.106,2022-08-11,2025-10-09
AST00051,CLI0150,mobile device,RHEL 8,Low,172.23.114.201,2026-05-22,
AST00052,CLI0238,workstation,Ubuntu 20.04,High,172.17.202.0,2025-07-20,2026-01-25
AST00053,CLI0212,Server,RHEL 8,Critical,172.21.143.12,2023-03-14,
AST00054,CLI0048,Server,RHEL 8,Low,192.168.14.113,2025-04-22,2026-01-22
AST00055,CLI0281,cloud instance,Unknown,Medium,10.96.96.41,2025-11-03,
AST00056,CLI0388,iot device,Unknown,High,192.168.251.26,2022-08-24,2025-07-19
AST00057,CLI0258,router,Ubuntu 22.04,Medium,10.0.89.150,2023-10-27,
AST00058,CLI0499,mobile device,Unknown,Low,172.26.90.214,2022-09-25,2025-08-22
AST00059,CLI0451,firewall,Ubuntu 22.04,Low,10.186.210.215,2026-05-03,
AST00060,CLI0217,firewall,Windows 11,Medium,172.26.197.27,2023-09-13,2025-08-25
AST00061,CLI0122,database,macOS Sonoma,High,172.31.151.36,2025-02-02,2025-08-31
AST00062,CLI0494,mobile device,CentOS 7,Medium,192.168.182.177,2023-05-22,2025-09-01
AST00063,CLI0421,Server,Ubuntu 22.04,Low,172.25.108.175,2023-01-02,2026-06-11
AST00064,CLI0165,firewall,Unknown,Low,192.168.16.148,2023-03-23,2025-10-23
AST00065,CLI0058,firewall,Ubuntu 20.04,Medium,192.168.53.77,2026-03-29,
AST00066,CLI0020,cloud instance,Windows 10,Medium,10.163.151.243,2023-03-02,
AST00067,CLI0494,firewall,Ubuntu 22.04,High,192.168.171.231,2024-04-12,2025-10-04
AST00068,CLI0187,Server,Unknown,High,10.55.80.79,2025-05-17,2025-12-06
AST00069,CLI0351,mobile device,Unknown,Medium,172.29.63.165,2024-06-19,
AST00070,CLI0395,firewall,Windows 10,Low,10.115.127.148,2023-02-22,2026-05-04
