financial_id,incident_id,cost_category,amount_usd,currency,recorded_date
FIN00001,INC00290,Remediation,95470.1,USD,2025-11-01
FIN00002,INC00290,Regulatory Fine,250.0,USD,2025-11-22
FIN00003,INC01618,Uncategorized,49909.97,USD,2025-06-24
FIN00004,INC01618,Uncategorized,175463.39,USD,2026-05-18
FIN00005,INC01698,Legal,56164.0,USD,2025-11-20
FIN00006,INC01880,Forensics,206579.42,USD,2026-03-25
FIN00007,INC01788,Downtime Loss,181486.4,USD,2025-05-02
FIN00008,INC01704,Legal,56164.0,USD,2025-12-05
FIN00009,INC01704,Downtime Loss,250.0,USD,2025-09-25
FIN00010,INC01092,Remediation,232607.25,USD,2025-07-08
FIN00011,INC01092,Remediation,140472.46,USD,2025-12-23
FIN00012,INC01206,Customer Notification,61533.41,USD,2024-09-28
FIN00013,INC01293,Legal,56164.0,USD,2024-11-30
FIN00014,INC00120,Legal,56164.0,USD,2026-03-26
FIN00015,INC01047,Uncategorized,72485.79,USD,2025-12-11
FIN00016,INC00295,Remediation,56652.85,USD,2024-11-04
FIN00017,INC00295,Downtime Loss,130455.42,USD,2026-05-05
FIN00018,INC01876,Legal,227132.66,USD,2024-08-23
FIN00019,INC00450,Customer Notification,222777.45,USD,2024-09-22
FIN00020,INC00450,Customer Notification,36276.34,USD,2024-09-12
FIN00021,INC00994,Regulatory Fine,250.0,USD,2025-08-31
FIN00022,INC00225,PR/Reputation,73065.42,USD,2026-05-20
FIN00023,INC00057,Customer Notification,43472.92,USD,2025-08-04
FIN00024,INC00766,Customer Notification,37734.23,USD,2025-10-26
FIN00025,INC00766,Downtime Loss,250.0,USD,2024-08-03
FIN00026,INC01213,Regulatory Fine,74023.2,USD,2025-06-16
FIN00027,INC00858,Uncategorized,72485.79,USD,2025-08-19
FIN00028,INC00024,Customer Notification,250.0,USD,2026-04-06
FIN00029,INC00337,Legal,182844.71,USD,2024-11-27
FIN00030,INC00405,Regulatory Fine,203217.48,USD,2025-09-11
FIN00031,INC00463,PR/Reputation,123323.46,USD,2026-02-20
FIN00032,INC01414,Regulatory Fine,250.0,USD,2024-11-13
FIN00033,INC01244,Remediation,151731.51,USD,2026-02-07
FIN00034,INC01044,Uncategorized,72485.79,USD,2025-09-14
FIN00035,INC01044,PR/Reputation,73065.42,USD,2025-10-02
FIN00036,INC00042,Customer Notification,250.0,USD,2025-09-15
FIN00037,INC00567,Regulatory Fine,47445.22,USD,2026-05-18
FIN00038,INC00567,Customer Notification,61533.41,USD,2026-02-12
FIN00039,INC00913,Downtime Loss,85398.65,USD,2026-02-19
FIN00040,INC00913,Legal,250.0,USD,2024-07-14
FIN00041,INC01451,Legal,56164.0,USD,2024-07-12
