incident_id,client_id,asset_id,threat_id,detected_datetime,resolved_datetime,status,priority,detection_source,assigned_analyst_id,records_affected,description
INC00001,CLI0379,AST01674,THR0338,2024-11-26 23:19:25.019523,2024-12-02 02:49:25.019523,Resolved,P1,Pen Test,,361251,Consumer positive market early machine establish nothing Mr chair paper.
INC00002,CLI0447,AST00887,THR0400,2024-12-31 03:49:53.469596,2025-01-01 03:49:53.469596,Open,P1,IDS/IPS,ANL0077,454821,Spend worker about country various until lawyer yard on everyone.
INC00003,CLI0093,AST01442,THR0231,2025-08-18 04:49:18.473215,,Open,P1,IDS/IPS,ANL0069,249392,Enter word physical majority blue join finish cause.
INC00004,CLI0481,AST00086,THR0016,2024-09-27 11:24:42.192986,2024-10-03 11:24:42.192986,Resolved,P4,Unknown,ANL0037,229205,American audience blue movement camera benefit.
INC00005,CLI0415,AST00327,THR0471,2025-12-24 10:49:18.193989,2025-12-30 02:49:18.193989,Resolved,P1,Unknown,ANL0031,249392,Daughter through note act front person everyone involve discover peace number.
INC00006,CLI0497,AST01601,THR0373,2025-01-10 12:46:49.975500,,Resolved,P2,Pen Test,ANL0020,256436,Government door age once several commercial whom himself my admit civil number pass.
INC00007,CLI0387,AST00048,THR0243,2026-06-11 05:42:19.179301,2026-06-12 04:42:19.179301,Resolved,P1,Pen Test,ANL0134,249392,Buy east image drug participant throughout truth evidence about provide itself team.
INC00008,CLI0192,AST00779,,2026-03-12 07:05:34.924230,2026-03-18 05:05:34.924230,Open,P2,EDR,ANL0093,256436,Degree beyond bank Republican kind school his past herself must even.
INC00009,CLI0322,AST00242,THR0468,2026-04-04 19:54:06.483677,2026-04-05 19:54:06.483677,Resolved,P3,IDS/IPS,ANL0020,206398,Job themselves garden again medical hold kind day certain back student raise.
INC00010,CLI0149,AST00575,THR0413,2024-10-30 16:28:59.688100,2024-11-05 13:28:59.688100,Resolved,P2,Firewall Log,ANL0123,256436,Debate fire if eat fact discuss over like agency very during.
INC00011,CLI0077,AST00921,THR0271,2025-11-21 06:09:02.338384,2025-11-26 09:39:02.338384,Resolved,P1,Unknown,ANL0076,249392,Require against occur growth after job knowledge interest join give especially.
INC00012,CLI0047,AST00654,THR0518,2026-04-26 14:12:24.564590,2026-05-05 15:12:24.564590,Resolved,P3,siem,ANL0005,206398,Long collection table population out special suffer without hair.
INC00013,CLI0051,AST00130,THR0225,2026-01-06 08:54:13.502627,2026-01-11 05:54:13.502627,Resolved,P3,SIEM,ANL0055,433733,Religious city past need economy moment effort.
INC00014,CLI0286,AST01736,THR0182,2024-10-16 13:12:28.017555,,Reopened,P1,SIEM,ANL0134,249392,Teach everything trouble director find minute discussion.
INC00015,CLI0188,AST00330,THR0464,2024-09-05 02:08:51.065473,,In Progress,P4,Unknown,ANL0096,229205,Of situation the term scientist explain.
INC00016,CLI0068,AST00121,THR0576,2025-06-08 04:39:55.921547,2025-06-16 05:39:55.921547,In Progress,P1,Pen Test,ANL0046,249392,Thus door space crime Republican attack big stage condition buy leg.
INC00017,CLI0112,AST01672,THR0323,2026-01-06 11:32:03.100840,2026-01-07 08:32:03.100840,Open,P2,siem,,298588,Check usually early across talk short message again.
INC00018,CLI0205,AST00090,,2025-07-03 05:19:10.743351,,Resolved,P1,Pen Test,ANL0002,249392,Hour cold light suffer drop participant.
INC00019,CLI0089,AST01797,THR0320,2025-03-24 21:54:38.404022,2025-03-30 01:24:38.404022,Closed,P1,Firewall Log,ANL0134,249392,Left lawyer report require class paper amount work career.
INC00020,CLI0219,AST01772,THR0353,2025-01-25 11:35:35.676330,2025-01-30 15:05:35.676330,Resolved,P1,IDS/IPS,ANL0023,249392,Sometimes quality house must identify modern while wall government painting responsibility see.
INC00021,CLI0145,AST00972,THR0319,2025-12-30 17:44:07.595403,2025-12-31 15:44:07.595403,In Progress,P1,Threat Intel Feed,ANL0040,249392,View cold teach call already available yes success break tough him federal.
INC00022,CLI0413,AST00455,THR0071,2024-07-17 03:04:36.777979,2024-07-20 07:04:36.777979,Open,P4,Threat Intel Feed,ANL0062,176892,Cup administration itself point chair tend so see power few each administration.
INC00023,CLI0431,AST01086,THR0280,2024-12-12 13:24:18.854455,2024-12-17 05:24:18.854455,Resolved,P4,User Report,ANL0057,229205,Education human require he daughter candidate where early certainly policy big.
INC00024,CLI0307,AST01110,THR0561,2025-03-29 21:54:37.015011,2025-04-04 10:54:37.015011,Closed,P4,Threat Intel Feed,ANL0036,283216,Let hit president item our great mention local value than.
INC00025,CLI0339,AST00685,THR0455,2025-06-14 22:08:00.333176,2025-06-22 11:08:00.333176,Resolved,P3,siem,ANL0091,206398,Former financial medical action big season no art meeting piece.
INC00026,CLI0407,AST00327,THR0188,2025-03-27 21:21:42.578645,2025-03-28 00:21:42.578645,Open,P3,EDR,,206398,Idea sometimes least perform expect anything military but just maintain shake.
INC00027,CLI0317,AST01497,,2024-07-26 02:21:54.752788,2024-07-27 05:21:54.752788,In Progress,P1,EDR,ANL0130,249392,Rock not attack why usually help produce key reveal environment central trip behavior.
INC00028,CLI0098,AST01231,THR0020,2025-04-06 02:39:50.458324,2025-04-11 06:09:50.458324,Resolved,P1,IDS/IPS,,368415,Detail analysis activity card industry create son third interview nothing wrong.
INC00029,CLI0173,AST01299,,2024-11-30 12:54:55.078344,2024-12-04 11:54:55.078344,Open,P3,EDR,ANL0001,468172,Clear also road skin despite trip.
INC00030,CLI0139,AST00374,THR0322,2024-10-28 15:47:08.324710,,Open,P1,Firewall Log,ANL0013,249392,Box prove speech garden road head light what officer nature top score.
INC00031,CLI0114,AST00691,THR0188,2025-10-04 00:04:54.305127,2025-10-09 03:34:54.305127,Resolved,P1,Pen Test,,148121,Money property structure operation radio south sing early spring its.
INC00032,CLI0505,AST00205,THR0196,2025-01-14 12:22:32.281563,2025-01-19 11:22:32.281563,Open,P1,Pen Test,ANL0060,349399,Feel win yard anything option soon election station never such despite what.
INC00033,CLI0050,AST00020,THR0295,2025-06-03 21:12:56.854712,2025-06-10 13:12:56.854712,Reopened,P1,SIEM,ANL0031,249392,Unit recently media include hundred note federal.
INC00034,CLI0357,AST00259,THR0220,2024-12-23 19:47:19.236610,,In Progress,P1,Unknown,ANL0025,249392,Loss up at finish threat itself spring child list air visit brother dog.
INC00035,CLI0345,AST01804,THR0179,2026-04-02 20:33:31.044278,2026-04-07 17:33:31.044278,Closed,P3,Pen Test,ANL0093,203383,Until how degree involve dog during source from our order table beyond.
INC00036,CLI0035,AST00122,THR0499,2024-08-28 19:31:15.152470,2024-09-03 23:31:15.152470,Open,P4,IDS/IPS,ANL0016,229205,Change investment to various soldier recently.
INC00037,CLI0397,AST01469,THR0270,2024-10-18 15:19:07.684140,,Closed,P4,Unknown,ANL0033,375734,Able concern card worker happen rate.
INC00038,CLI0199,AST01168,THR0315,2026-02-23 14:48:37.541420,2026-02-27 14:48:37.541420,Open,P1,IDS/IPS,ANL0097,397810,Program beautiful close finally beyond you bank always a two.
INC00039,CLI0343,AST00672,,2026-01-27 10:22:49.062714,2026-01-31 04:22:49.062714,In Progress,P4,User Report,ANL0081,133747,Station make environment fact student author partner catch left system church.
INC00040,CLI0401,AST00377,THR0471,2026-01-17 14:16:27.335508,2026-01-19 14:16:27.335508,Resolved,P1,Firewall Log,ANL0057,249392,Benefit paper ready allow system professor reason special grow meeting family relationship.
INC00041,CLI0098,AST00143,,2025-04-18 16:17:05.830364,2025-04-24 19:17:05.830364,Resolved,P1,SIEM,ANL0002,249392,Some suggest program decision leave reflect already arrive themselves.
INC00042,CLI0424,AST01046,THR0015,2024-10-15 13:33:04.681259,2024-10-25 05:33:04.681259,In Progress,P4,IDS/IPS,ANL0035,323101,Call reveal executive four floor dream loss important upon property public.
INC00043,CLI0289,AST01836,THR0468,2025-12-14 11:38:41.956889,,Open,P1,Firewall Log,ANL0109,163412,Visit decide list almost choose course at all table.
